2018-05-150 00:05:497 INFO  BankAppDriver:26 - Begin Customer Creation: 
2018-05-150 00:05:438 INFO  BankAppDriver:57 - CreateCustomer(): 
2018-05-150 00:05:438 INFO  BankAppDriver:58 - username: donal
2018-05-150 00:05:438 INFO  BankAppDriver:59 - firstName: donald
2018-05-150 00:05:438 INFO  BankAppDriver:60 - lastName: duck
2018-05-150 00:05:438 INFO  BankAppDriver:61 - address1: 123
2018-05-150 00:05:453 INFO  BankAppDriver:62 - address2: 12344
2018-05-150 00:05:453 INFO  BankAppDriver:63 - city: 12345
2018-05-150 00:05:453 INFO  BankAppDriver:64 - state: 123444
2018-05-150 00:05:453 INFO  BankAppDriver:65 - phoneNumber: 3444
2018-05-150 00:05:453 INFO  BankAppDriver:66 - email: 2444
2018-05-150 00:05:453 INFO  BankAppDriver:67 - accessLve: customer
2018-05-150 00:05:453 INFO  BankAppDriver:68 - End Customer Creation 

2018-05-150 00:05:453 INFO  BankAppDriver:396 - Begin Serialization - SerializeCustomer(): 
2018-05-150 00:05:485 INFO  BankAppDriver:410 - Check Object Written To .ser File - cParamS: 
2018-05-150 00:05:485 INFO  BankAppDriver:411 - username: donal
2018-05-150 00:05:485 INFO  BankAppDriver:412 - firstName: donald
2018-05-150 00:05:485 INFO  BankAppDriver:413 - lastName: duck
2018-05-150 00:05:485 INFO  BankAppDriver:414 - address1: 123
2018-05-150 00:05:485 INFO  BankAppDriver:415 - address2: 12344
2018-05-150 00:05:485 INFO  BankAppDriver:416 - city: 12345
2018-05-150 00:05:485 INFO  BankAppDriver:417 - state: 123444
2018-05-150 00:05:485 INFO  BankAppDriver:418 - phoneNumber: 3444
2018-05-150 00:05:485 INFO  BankAppDriver:419 - email: 2444
2018-05-150 00:05:485 INFO  BankAppDriver:420 - accessLevel: customer
2018-05-150 00:05:485 INFO  BankAppDriver:432 - End Serialization - SerializeCustomer() 

2018-05-150 00:05:485 INFO  BankAppDriver:86 - c.username created: donal

2018-05-150 00:05:499 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-150 00:05:500 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accdonal.ser
2018-05-150 00:05:501 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-150 00:05:501 INFO  BankAppDriver:41 - balance: 0.00
2018-05-150 00:05:501 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 

2018-05-150 00:05:501 INFO  BankAppDriver:446 - Begin Deserialization - DeserializeCustomer(): 
2018-05-150 00:05:501 INFO  BankAppDriver:449 - Customer reference is set to null. c = (cParamD = null)
2018-05-150 00:05:657 INFO  BankAppDriver:460 - Check Object Read From .ser File - cParamD: 
2018-05-150 00:05:657 INFO  BankAppDriver:461 - username: donal
2018-05-150 00:05:657 INFO  BankAppDriver:462 - firstName: donald
2018-05-150 00:05:657 INFO  BankAppDriver:463 - lastName: duck
2018-05-150 00:05:657 INFO  BankAppDriver:464 - address1: 123
2018-05-150 00:05:657 INFO  BankAppDriver:465 - address2: 12344
2018-05-150 00:05:657 INFO  BankAppDriver:466 - city: 12345
2018-05-150 00:05:657 INFO  BankAppDriver:467 - state: 123444
2018-05-150 00:05:657 INFO  BankAppDriver:468 - phoneNumber: 3444
2018-05-150 00:05:657 INFO  BankAppDriver:469 - email: 2444
2018-05-150 00:05:657 INFO  BankAppDriver:470 - accessLevel: customer
2018-05-150 00:05:657 INFO  BankAppDriver:479 - End Deserialization - DeserializeCustomer() 

2018-05-150 00:05:657 INFO  BankAppDriver:503 - accessLvel: customer
2018-05-150 00:05:657 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-150 00:05:657 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-150 00:05:657 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-150 00:05:657 INFO  BankAppDriver:70 - balance: 0.00
2018-05-150 00:05:657 INFO  BankAppDriver:85 - End Deserialization - View Balance() 

2018-05-150 00:05:673 INFO  BankAppDriver:100 - jointAccount = false
