2018-05-148 12:05:366 INFO  BankAppDriver:45 - usernameM: jtumma1
2018-05-148 12:05:372 INFO  BankAppDriver:56 - accountExists: false

2018-05-148 12:05:373 INFO  BankAppDriver:21 - Begin Customer Creation: 
2018-05-148 12:05:373 INFO  BankAppDriver:35 - CreateCustomer(): 
2018-05-148 12:05:373 INFO  BankAppDriver:36 - username: jtumma1
2018-05-148 12:05:374 INFO  BankAppDriver:37 - firstName: Janeta
2018-05-148 12:05:379 INFO  BankAppDriver:38 - lastName: Maneta
2018-05-148 12:05:379 INFO  BankAppDriver:39 - address1: 123 ABC St
2018-05-148 12:05:380 INFO  BankAppDriver:40 - address2: Apt 1234
2018-05-148 12:05:380 INFO  BankAppDriver:41 - city: Dallas
2018-05-148 12:05:381 INFO  BankAppDriver:42 - state: TX
2018-05-148 12:05:381 INFO  BankAppDriver:43 - phoneNumber: 1234567890
2018-05-148 12:05:381 INFO  BankAppDriver:44 - email: jacqutum@gmail.com
2018-05-148 12:05:381 INFO  BankAppDriver:45 - End Customer Creation 

2018-05-148 12:05:382 INFO  BankAppDriver:144 - Begin Serialization - SerializeCustomer(): 
2018-05-148 12:05:413 INFO  BankAppDriver:158 - Check Object Written To .ser File - cParamS: 
2018-05-148 12:05:416 INFO  BankAppDriver:159 - username: jtumma1
2018-05-148 12:05:416 INFO  BankAppDriver:160 - firstName: Janeta
2018-05-148 12:05:416 INFO  BankAppDriver:161 - lastName: Maneta
2018-05-148 12:05:417 INFO  BankAppDriver:162 - address1: 123 ABC St
2018-05-148 12:05:417 INFO  BankAppDriver:163 - address2: Apt 1234
2018-05-148 12:05:417 INFO  BankAppDriver:164 - city: Dallas
2018-05-148 12:05:418 INFO  BankAppDriver:165 - state: TX
2018-05-148 12:05:418 INFO  BankAppDriver:166 - phoneNumber: 1234567890
2018-05-148 12:05:418 INFO  BankAppDriver:167 - email: jacqutum@gmail.com
2018-05-148 12:05:419 INFO  BankAppDriver:179 - End Serialization - SerializeCustomer() 

2018-05-148 12:05:420 INFO  BankAppDriver:64 - c.username created: jtumma1

2018-05-148 12:05:421 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-148 12:05:423 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accjtumma1.ser
2018-05-148 12:05:426 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-148 12:05:431 INFO  BankAppDriver:41 - balance: 0.00
2018-05-148 12:05:432 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 

2018-05-148 12:05:433 INFO  BankAppDriver:193 - Begin Deserialization - DeserializeCustomer(): 
2018-05-148 12:05:433 INFO  BankAppDriver:196 - Customer reference is set to null. c = (cParamD = null)
2018-05-148 12:05:546 INFO  BankAppDriver:207 - Check Object Read From .ser File - cParamD: 
2018-05-148 12:05:546 INFO  BankAppDriver:208 - username: jtumma1
2018-05-148 12:05:547 INFO  BankAppDriver:209 - firstName: Janeta
2018-05-148 12:05:547 INFO  BankAppDriver:210 - lastName: Maneta
2018-05-148 12:05:547 INFO  BankAppDriver:211 - address1: 123 ABC St
2018-05-148 12:05:548 INFO  BankAppDriver:212 - address2: Apt 1234
2018-05-148 12:05:548 INFO  BankAppDriver:213 - city: Dallas
2018-05-148 12:05:548 INFO  BankAppDriver:214 - state: TX
2018-05-148 12:05:549 INFO  BankAppDriver:215 - phoneNumber: 1234567890
2018-05-148 12:05:549 INFO  BankAppDriver:216 - email: jacqutum@gmail.com
2018-05-148 12:05:549 INFO  BankAppDriver:225 - End Deserialization - DeserializeCustomer() 

2018-05-148 12:05:550 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-148 12:05:551 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-148 12:05:552 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-148 12:05:552 INFO  BankAppDriver:70 - balance: 0.00
2018-05-148 12:05:553 INFO  BankAppDriver:85 - End Deserialization - View Balance() 

2018-05-148 12:05:553 INFO  BankAppDriver:78 - jointAccount = true
2018-05-148 12:05:554 INFO  BankAppDriver:21 - Begin Customer Creation: 
2018-05-148 12:05:554 INFO  BankAppDriver:35 - CreateCustomer(): 
2018-05-148 12:05:554 INFO  BankAppDriver:36 - username: ktumma1
2018-05-148 12:05:555 INFO  BankAppDriver:37 - firstName: Janeta
2018-05-148 12:05:555 INFO  BankAppDriver:38 - lastName: Maneta
2018-05-148 12:05:933 INFO  BankAppDriver:39 - address1: 123 ABC St
2018-05-148 12:05:934 INFO  BankAppDriver:40 - address2: Apt 1234
2018-05-148 12:05:934 INFO  BankAppDriver:41 - city: Dallas
2018-05-148 12:05:934 INFO  BankAppDriver:42 - state: TX
2018-05-148 12:05:934 INFO  BankAppDriver:43 - phoneNumber: 1234567890
2018-05-148 12:05:935 INFO  BankAppDriver:44 - email: jacqutum@gmail.com
2018-05-148 12:05:935 INFO  BankAppDriver:45 - End Customer Creation 

2018-05-148 12:05:935 INFO  BankAppDriver:144 - Begin Serialization - SerializeCustomer(): 
2018-05-148 12:05:937 INFO  BankAppDriver:158 - Check Object Written To .ser File - cParamS: 
2018-05-148 12:05:938 INFO  BankAppDriver:159 - username: jtumma1
2018-05-148 12:05:938 INFO  BankAppDriver:160 - firstName: Janeta
2018-05-148 12:05:938 INFO  BankAppDriver:161 - lastName: Maneta
2018-05-148 12:05:938 INFO  BankAppDriver:162 - address1: 123 ABC St
2018-05-148 12:05:939 INFO  BankAppDriver:163 - address2: Apt 1234
2018-05-148 12:05:939 INFO  BankAppDriver:164 - city: Dallas
2018-05-148 12:05:939 INFO  BankAppDriver:165 - state: TX
2018-05-148 12:05:939 INFO  BankAppDriver:166 - phoneNumber: 1234567890
2018-05-148 12:05:939 INFO  BankAppDriver:167 - email: jacqutum@gmail.com
2018-05-148 12:05:940 INFO  BankAppDriver:169 - secondJointAccUsername: ktumma1
2018-05-148 12:05:940 INFO  BankAppDriver:179 - End Serialization - SerializeCustomer() 

2018-05-148 12:05:940 INFO  BankAppDriver:144 - Begin Serialization - SerializeCustomer(): 
2018-05-148 12:05:943 INFO  BankAppDriver:158 - Check Object Written To .ser File - cParamS: 
2018-05-148 12:05:943 INFO  BankAppDriver:159 - username: ktumma1
2018-05-148 12:05:943 INFO  BankAppDriver:160 - firstName: Janeta
2018-05-148 12:05:943 INFO  BankAppDriver:161 - lastName: Maneta
2018-05-148 12:05:944 INFO  BankAppDriver:162 - address1: 123 ABC St
2018-05-148 12:05:944 INFO  BankAppDriver:163 - address2: Apt 1234
2018-05-148 12:05:944 INFO  BankAppDriver:164 - city: Dallas
2018-05-148 12:05:944 INFO  BankAppDriver:165 - state: TX
2018-05-148 12:05:945 INFO  BankAppDriver:166 - phoneNumber: 1234567890
2018-05-148 12:05:945 INFO  BankAppDriver:167 - email: jacqutum@gmail.com
2018-05-148 12:05:945 INFO  BankAppDriver:169 - secondJointAccUsername: jtumma1
2018-05-148 12:05:945 INFO  BankAppDriver:179 - End Serialization - SerializeCustomer() 

2018-05-148 12:05:946 INFO  BankAppDriver:96 - d.username created: ktumma1
