2018-05-148 16:05:977 INFO  BankAppDriver:45 - usernameM: jtumma1
2018-05-148 16:05:991 INFO  BankAppDriver:56 - accountExists: true

2018-05-148 16:05:992 INFO  BankAppDriver:114 - Username: jtumma1
2018-05-148 16:05:993 INFO  BankAppDriver:194 - Begin Deserialization - DeserializeCustomer(): 
2018-05-148 16:05:993 INFO  BankAppDriver:197 - Customer reference is set to null. c = (cParamD = null)
2018-05-148 16:05:134 INFO  BankAppDriver:208 - Check Object Read From .ser File - cParamD: 
2018-05-148 16:05:135 INFO  BankAppDriver:209 - username: jtumma1
2018-05-148 16:05:136 INFO  BankAppDriver:210 - firstName: Janeta
2018-05-148 16:05:136 INFO  BankAppDriver:211 - lastName: Maneta
2018-05-148 16:05:137 INFO  BankAppDriver:212 - address1: 123 ABC St
2018-05-148 16:05:137 INFO  BankAppDriver:213 - address2: Apt 1234
2018-05-148 16:05:137 INFO  BankAppDriver:214 - city: Dallas
2018-05-148 16:05:138 INFO  BankAppDriver:215 - state: TX
2018-05-148 16:05:138 INFO  BankAppDriver:216 - phoneNumber: 1234567890
2018-05-148 16:05:138 INFO  BankAppDriver:217 - email: jacqutum@gmail.com
2018-05-148 16:05:138 INFO  BankAppDriver:219 - secondJointAccUsername: ktumma1
2018-05-148 16:05:141 INFO  BankAppDriver:226 - End Deserialization - DeserializeCustomer() 

2018-05-148 16:05:142 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-148 16:05:142 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-148 16:05:147 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-148 16:05:152 INFO  BankAppDriver:70 - balance: 16.00
2018-05-148 16:05:153 INFO  BankAppDriver:85 - End Deserialization - View Balance() 

2018-05-148 16:05:153 INFO  BankAppDriver:89 - Begin Deposit(): 
2018-05-148 16:05:153 INFO  BankAppDriver:93 - Deposit Amount: 5.00
2018-05-148 16:05:155 INFO  BankAppDriver:103 - Before Depositing, Balance = 16.00
2018-05-148 16:05:155 INFO  BankAppDriver:109 - After Depositing, Balance = 21.00
2018-05-148 16:05:155 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-148 16:05:157 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accjtumma1.ser
