2018-05-148 11:05:23 INFO  BankAppDriver:39 - usernameM: jtumma1
2018-05-148 11:05:27 INFO  BankAppDriver:45 - accountExists: true
2018-05-148 11:05:28 INFO  BankAppDriver:103 - Username: jtumma1
2018-05-148 11:05:28 INFO  BankAppDriver:180 - Begin Deserialization - DeserializeCustomer(): 
2018-05-148 11:05:28 INFO  BankAppDriver:183 - Customer reference is set to null. c = (cParamD = null)
2018-05-148 11:05:155 INFO  BankAppDriver:194 - Check Object Read From .ser File - cParamD: 
2018-05-148 11:05:156 INFO  BankAppDriver:195 - username: jtumma1
2018-05-148 11:05:157 INFO  BankAppDriver:196 - firstName: Janeta
2018-05-148 11:05:157 INFO  BankAppDriver:197 - lastName: Maneta
2018-05-148 11:05:157 INFO  BankAppDriver:198 - address1: 123 ABC St
2018-05-148 11:05:157 INFO  BankAppDriver:199 - address2: Apt 1234
2018-05-148 11:05:158 INFO  BankAppDriver:200 - city: Dallas
2018-05-148 11:05:158 INFO  BankAppDriver:201 - state: TX
2018-05-148 11:05:158 INFO  BankAppDriver:202 - phoneNumber: 1234567890
2018-05-148 11:05:159 INFO  BankAppDriver:203 - email: jacqutum@gmail.com
2018-05-148 11:05:159 INFO  BankAppDriver:205 - secondJointAccUsername: ktumma1
2018-05-148 11:05:161 INFO  BankAppDriver:212 - End Deserialization - DeserializeCustomer() 
2018-05-148 11:05:162 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-148 11:05:163 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-148 11:05:167 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-148 11:05:172 INFO  BankAppDriver:70 - balance: 8.00
2018-05-148 11:05:173 INFO  BankAppDriver:89 - Begin Deposit(): 
2018-05-148 11:05:173 INFO  BankAppDriver:93 - Deposit Amount: 5.0
2018-05-148 11:05:174 INFO  BankAppDriver:103 - Before Depositing, Balance = 8.00
2018-05-148 11:05:175 INFO  BankAppDriver:109 - After Depositing, Balance = 13.00
2018-05-148 11:05:175 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-148 11:05:176 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accjtumma1.ser
2018-05-148 11:05:178 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-148 11:05:178 INFO  BankAppDriver:41 - balance: 13.000000
2018-05-148 11:05:179 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 
2018-05-148 11:05:179 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-148 11:05:179 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-148 11:05:181 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-148 11:05:181 INFO  BankAppDriver:70 - balance: 13.00
2018-05-148 11:05:181 INFO  BankAppDriver:132 - Begin Deposit(): 
2018-05-148 11:05:182 INFO  BankAppDriver:136 - Withdraw Amount: 1.0
2018-05-148 11:05:183 INFO  BankAppDriver:146 - Before Withdrawing, Balance = 13.00
2018-05-148 11:05:183 INFO  BankAppDriver:152 - After Withdrawing, Balance = 12.00
2018-05-148 11:05:184 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-148 11:05:185 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accjtumma1.ser
2018-05-148 11:05:186 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-148 11:05:186 INFO  BankAppDriver:41 - balance: 12.000000
2018-05-148 11:05:187 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 
